"ID","SEXENT","tuition_IO","race_ethn_desc_IPEDS","Major_F1","coll_f1","entering_fall","Major_S1","coll_s1","Major_F2","coll_f2","Major_S2","coll_s2","Major_F3","coll_f3","Major_S3","coll_s3","Major_F4","coll_f4","Major_S4","coll_s4","Major_F5","coll_f5","Major_S5","coll_s5","Major_F6","coll_f6","Major_S6","coll_s6","dgrterm","grad_year","SF"
"39","M","I","Not Reported","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","GE_F2","ENG_F2","MINE_S2","ENG_S2","MINE_F3","ENG_F3","MINE_S3","ENG_S3","BIT_F4","BIZ_F4","BIT_S4","BIZ_S4","BIT_F5","BIZ_F5","BIT_S5","BIZ_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"40","M","O","Not Reported","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","CS_F2","SCI_F2","CS_S2","SCI_S2","CS_F3","ENG_F3","CS_S3","ENG_S3","CS_F4","ENG_F4","CS_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"41","F","I","White","APSC_F1","ALS_F1","Fall 2001","APSC_S1","ALS_S1","NE_F2","NE_F2","WSCI_S2","NRE_S2","WSCI_F3","NRE_F3","WSCI_S3","NRE_S3","WSCI_F4","NRE_F4","WSCI_S4","NRE_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"42","F","O","White","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","CS_F2","SCI_F2","BIT_S2","BIZ_S2","BIT_F3","BIZ_F3","BIT_S3","BIZ_S3","BIT_F4","BIZ_F4","BIT_S4","BIZ_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200506","GRAD_F5","F5"
"43","M","I","Black or African American","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","US_S2","IC_S2","US_F3","IC_F3","IDST_S3","LAHS_S3","IDST_F4","LAHS_F4","NE_S4","NE_S4","IDST_F5","LAHS_F5","IDST_S5","LAHS_S5","IDST_F6","LAHS_F6","IDST_S6","LAHS_S6","200809",,
"44","M","I","Not Reported","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","HTM_F2","BIZ_F2","HTM_S2","BIZ_S2","HIST_F3","LAHS_F3","HIST_S3","LAHS_S3","NE_F4","NE_F4","HIST_S4","LAHS_S4","HIST_F5","LAHS_F5","HIST_S5","LAHS_S5","HIST_F6","LAHS_F6","GRAD_S6","GRAD_S6","200609","GRAD_S6","S6"
"45","M","O","White","CE_F1","ENG_F1","Fall 2001","CE_S1","ENG_S1","GE_F2","ENG_F2","CE_S2","ENG_S2","CE_F3","ENG_F3","CE_S3","ENG_S3","GRAD_F4","GRAD_F4","GRAD_S4","GRAD_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200401","GRAD_F4","F4"
"46","M","O","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","HIST_S2","SCI_S2","HIST_F3","LAHS_F3","ENGL_S3","LAHS_S3","ENGL_F4","LAHS_F4","ENGL_S4","LAHS_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"47","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","CPE_F2","ENG_F2","CPE_S2","ENG_S2","CPE_F3","ENG_F3","CPE_S3","ENG_S3","CPE_F4","ENG_F4","CPE_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"48","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","CPE_F2","ENG_F2","CPE_S2","ENG_S2","CPE_F3","ENG_F3","CPE_S3","ENG_S3","CPE_F4","ENG_F4","CPE_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"49","M","O","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","ME_S2","ENG_S2","ME_F3","ENG_F3","ME_S3","ENG_S3","ME_F4","ENG_F4","ME_S4","ENG_S4","ME_F5","ENG_F5","ME_S5","ENG_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200601","GRAD_F6","F6"
"50","F","I","White","COMM_F1","SCI_F1","Fall 2001","COMM_S1","SCI_S1","COMM_F2","LAHS_F2","COMM_S2","LAHS_S2","COMM_F3","LAHS_F3","COMM_S3","LAHS_S3","COMM_F4","LAHS_F4","GRAD_S4","GRAD_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200409","GRAD_S4","S4"
"51","F","I","White","APSC_F1","ALS_F1","Fall 2001","APSC_S1","ALS_S1","APSC_F2","ALS_F2","APSC_S2","ALS_S2","APSC_F3","ALS_F3","APSC_S3","ALS_S3","APSC_F4","ALS_F4","GRAD_S4","GRAD_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200409","GRAD_S4","S4"
