ID,SEXENT,tuition_IO,race_ethn_desc_IPEDS,Field4,heg_f1,Major_F1,coll_f1,entering_fall,heg_s1,Major_S1,coll_s1,heg_f2,Major_F2,coll_f2,heg_s2,Major_S2,coll_s2,heg_f3,Major_F3,coll_f3,heg_s3,Major_S3,coll_s3,heg_f4,Major_F4,coll_f4,heg_s4,Major_S4,coll_s4,heg_f5,Major_F5,coll_f5,heg_s5,Major_S5,coll_s5,heg_f6,Major_F6,coll_f6,heg_s6,Major_S6,coll_s6,dgrterm,Major_SF,SF,degree_major,degree_college,degree_year
37,F,I,White,,CHEM,CHEM_F1,SCI_F1,Fall 2004,CHEM,CHEM_S1,SCI_S1,CHEM,CHEM_F2,SCI_F2,CHEM,CHEM_S2,SCI_S2,FST,FST_F3,ALS_F3,FST,FST_S3,ALS_S3,BCHM,BCHM_F4,ALS_F4,BCHM,BCHM_S4,ALS_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,BCHM,01,2008
38,M,I,White,,PSYC,PSYC_F1,SCI_F1,Fall 2004,PSYC,PSYC_S1,SCI_S1,PSYC,PSYC_F2,SCI_F2,PSYC,PSYC_S2,SCI_S2,PSYC,PSYC_F3,SCI_F3,PSYC,PSYC_S3,SCI_S3,PSYC,PSYC_F4,SCI_F4,PSYC,PSYC_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,PSYC,08,2008
39,M,O,White,,ARCH,ARCH_F1,AUS_F1,Fall 2004,ARCH,ARCH_S1,AUS_S1,ARCH,ARCH_F2,AUS_F2,ARCH,ARCH_S2,AUS_S2,ARCH,ARCH_F3,AUS_F3,ARCH,ARCH_S3,AUS_S3,ARCH,ARCH_F4,AUS_F4,ARCH,ARCH_S4,AUS_S4,ARCH,ARCH_F5,AUS_F5,ARCH,ARCH_S5,AUS_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200901,GRAD_F6,_F6,ARCH,02,2009
40,F,I,White,,US,US_F1,IC_F1,Fall 2004,US,US_S1,IC_S1,US,US_F2,IC_F2,BIOL,BIOL_S2,SCI_S2,BIOL,BIOL_F3,SCI_F3,BIOL,BIOL_S3,SCI_S3,BIOL,BIOL_F4,SCI_F4,BIOL,BIOL_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,BIOL,08,2008
41,F,I,White,,US,US_F1,IC_F1,Fall 2004,US,US_S1,IC_S1,FIN,FIN_F2,BIZ_F2,FIN,FIN_S2,BIZ_S2,ACIS,ACIS_F3,BIZ_F3,ACIS,ACIS_S3,BIZ_S3,ACIS,ACIS_F4,BIZ_F4,ACIS,ACIS_S4,BIZ_S4,ACIS,ACIS_F5,BIZ_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200809,GRAD_S5,_S5,ACIS,03,2008
42,M,O,Black or African American,,US,US_F1,IC_F1,Fall 2004,US,US_S1,IC_S1,US,US_F2,IC_F2,US,US_S2,IC_S2,,NE_F3,NE_F3,US,US_S3,IC_S3,US,US_F4,IC_F4,AHRM,AHRM_S4,LAHS_S4,AHRM,AHRM_F5,LAHS_F5,AHRM,AHRM_S5,LAHS_S5,AHRM,AHRM_F6,LAHS_F6,AHRM,AHRM_S6,LAHS_S6,201001,,,AHRM,07,2010
43,M,O,White,,GE,GE_F1,ENG_F1,Fall 2004,GE,GE_S1,ENG_S1,ME,ME_F2,ENG_F2,ME,ME_S2,ENG_S2,ME,ME_F3,ENG_F3,ME,ME_S3,ENG_S3,ME,ME_F4,ENG_F4,ME,ME_S4,ENG_S4,ME,ME_F5,ENG_F5,ME,ME_S5,ENG_S5,ME,ME_F6,ENG_F6,ME,ME_S6,ENG_S6,201001,,,ME,05,2010
44,M,O,White,,CS,CS_F1,ENG_F1,Fall 2004,CS,CS_S1,ENG_S1,,NE_F2,NE_F2,,NE_S2,NE_S2,,NE_F3,NE_F3,,NE_S3,NE_S3,,NE_F4,NE_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
45,M,I,Not Reported,,GE,GE_F1,ENG_F1,Fall 2004,GE,GE_S1,ENG_S1,EE,EE_F2,ENG_F2,MATH,MATH_S2,SCI_S2,MATH,MATH_F3,SCI_F3,MATH,MATH_S3,SCI_S3,MATH,MATH_F4,SCI_F4,MATH,MATH_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,MATH,08,2008
46,F,I,White,,BIOL,BIOL_F1,SCI_F1,Fall 2004,BIOL,BIOL_S1,SCI_S1,BIOL,BIOL_F2,SCI_F2,BIOL,BIOL_S2,SCI_S2,BIOL,BIOL_F3,SCI_F3,BIOL,BIOL_S3,SCI_S3,BIOL,BIOL_F4,SCI_F4,BIOL,BIOL_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,BIOL,08,2008
